user_id,name,role,email
1,Brian Conner,Operator,murillostephanie@example.com
2,Benjamin Maldonado,Engineer,jim96@example.com
3,Samantha Lewis,Admin,patrick53@example.org
4,Virginia Williams,Analyst,austin52@example.net
5,Kristin Fields,Operator,barbara33@example.org
6,Stacy Perkins,Engineer,tamararussell@example.org
7,Lisa Smith,Analyst,williamschmitt@example.org
8,Bobby Lewis,Engineer,robert04@example.com
9,Kimberly Monroe,Operator,clayton39@example.net
10,Scott Williams,Engineer,rnorman@example.org
11,Ryan Jordan,Operator,clarklinda@example.net
12,Matthew Compton PhD,Operator,ujensen@example.com
13,Amy Campbell,Analyst,kingsarah@example.com
14,Michael Harris IV,Analyst,bradleyjeanette@example.net
15,Theresa Anderson,Operator,shawn69@example.org
16,April Turner,Operator,pmartinez@example.com
17,Justin Trujillo,Analyst,wwaters@example.com
18,Carol Mercer,Operator,jacobsanchez@example.net
19,Eric Stark,Engineer,osimpson@example.org
20,Lisa Kelley,Analyst,nancy44@example.net
